result,c1,c2,c3,c4,c5
Win,Ornn,Heimerdinger,Tahm Kench,Lucian,Nocturne
Win,Lee Sin,Jhin,Ahri,Soraka,Teemo
Win,Singed,Kai'Sa,Soraka,Skarner,Olaf
Win,Vel'Koz,Xin Zhao,Tristana,Rakan,Ornn
Win,Vladimir,Shaco,Caitlyn,Morgana,Ornn
Win,Xayah,Kennen,Lee Sin,Soraka,Ezreal
Win,Lee Sin,Singed,Soraka,Vladimir,Xayah
Win,Graves,Tahm Kench,Vladimir,Talon,Veigar
Win,Ahri,Caitlyn,Camille,Lee Sin,Veigar
Win,Vladimir,Morgana,Caitlyn,Xin Zhao,Poppy
Win,Irelia,Lee Sin,Zyra,Kai'Sa,Poppy
Win,Anivia,Trundle,Jhin,Zyra,Shaco
Win,Pyke,Lucian,Zed,Aatrox,Shaco
Win,Rek'Sai,Irelia,Nami,Sivir,Kai'Sa
Win,Janna,Jayce,Kha'Zix,Ekko,Kai'Sa
Win,Jinx,Zoe,Riven,Lee Sin,Yasuo
Win,Karma,Darius,Xin Zhao,Xayah,Zoe
Win,Alistar,Varus,Taliyah,Jarvan IV,Graves
Win,Ezreal,Aurelion Sol,Irelia,Camille,Graves
Win,Jhin,Camille,Irelia,Morgana,Aurelion Sol
Win,Caitlyn,Jax,Janna,Lissandra,Tahm Kench
Win,Fiora,Vladimir,Graves,Ezreal,Pyke
Win,Nidalee,Draven,Zoe,Dr. Mundo,Pyke
Win,Nasus,Ezreal,Xin Zhao,Lulu,Braum
Win,LeBlanc,Taliyah,Rakan,Dr. Mundo,Xayah
Win,Xin Zhao,Morgana,Vladimir,Gnar,Ezreal
Win,Karthus,Ezreal,Ahri,Singed,Karma
Win,Veigar,Ezreal,Lulu,Irelia,Skarner
Win,Camille,Jhin,Zoe,Graves,Zoe
Win,Kai'Sa,Blitzcrank,Jax,Kayle,Zoe
Win,Braum,Gnar,Zilean,Trundle,Ezreal
Win,Zoe,Alistar,Singed,Sejuani,Ezreal
Win,Singed,Jayce,Rengar,Draven,Karma
Win,Camille,Ezreal,Xin Zhao,Talon,Singed
Win,Alistar,Zoe,Kha'Zix,Xayah,Jayce
